Number of Peaks	Factor	Location	Peak Type
2091	CEBPA	Promoter	Mark
24854	CEBPA	Promoter	Overall
8101	CTCF	Promoter	Mark
12207	CTCF	Promoter	Overall
2143	ERa	Promoter	Mark
8207	ERa	Promoter	Overall
4014	FOXa1	Promoter	Mark
32398	FOXa1	Promoter	Overall
6021	FOXa2	Promoter	Mark
53287	FOXa2	Promoter	Overall
3353	GABPA	Promoter	Mark
46098	GABPA	Promoter	Overall
1852	HNF1a	Promoter	Mark
15749	HNF1a	Promoter	Overall
5998	HNF4a	Promoter	Mark
38128	HNF4a	Promoter	Overall
3888	HNF6	Promoter	Mark
35823	HNF6	Promoter	Overall
1178	p300	Promoter	Mark
10659	p300	Promoter	Overall
2013	STAG1	Promoter	Mark
37490	STAG1	Promoter	Overall
7704	CEBPA	Enhancer	Mark
24854	CEBPA	Enhancer	Overall
2399	CTCF	Enhancer	Mark
12207	CTCF	Enhancer	Overall
2585	ERa	Enhancer	Mark
8207	ERa	Enhancer	Overall
11664	FOXa1	Enhancer	Mark
32398	FOXa1	Enhancer	Overall
17446	FOXa2	Enhancer	Mark
53287	FOXa2	Enhancer	Overall
2510	GABPA	Enhancer	Mark
46098	GABPA	Enhancer	Overall
6503	HNF1a	Enhancer	Mark
15749	HNF1a	Enhancer	Overall
16592	HNF4a	Enhancer	Mark
38128	HNF4a	Enhancer	Overall
8654	HNF6	Enhancer	Mark
35823	HNF6	Enhancer	Overall
5800	p300	Enhancer	Mark
10659	p300	Enhancer	Overall
4501	STAG1	Enhancer	Mark
37490	STAG1	Enhancer	Overall
