Number	Factor	Location	Treatment
24	CEBPA	Genebody	DIP
7	CEBPA	Promoter	DIP
9	CTCF	Genebody	DIP
4	CTCF	Promoter	DIP
26	FOXa1	Genebody	DIP
15	FOXa1	Promoter	DIP
31	FOXa2	Genebody	DIP
19	FOXa2	Promoter	DIP
25	GABPA	Genebody	DIP
8	GABPA	Promoter	DIP
18	HNF1a	Genebody	DIP
5	HNF1a	Promoter	DIP
26	HNF4a	Genebody	DIP
17	HNF4a	Promoter	DIP
28	HNF6	Genebody	DIP
9	HNF6	Promoter	DIP
26	STAG1	Genebody	DIP
7	STAG1	Promoter	DIP
16	p300	Genebody	DIP
4	p300	Promoter	DIP
139	CEBPA	Genebody	DPN
46	CEBPA	Promoter	DPN
70	CTCF	Genebody	DPN
48	CTCF	Promoter	DPN
159	FOXa1	Genebody	DPN
68	FOXa1	Promoter	DPN
190	FOXa2	Genebody	DPN
94	FOXa2	Promoter	DPN
207	GABPA	Genebody	DPN
64	GABPA	Promoter	DPN
100	HNF1a	Genebody	DPN
39	HNF1a	Promoter	DPN
170	HNF4a	Genebody	DPN
94	HNF4a	Promoter	DPN
161	HNF6	Genebody	DPN
64	HNF6	Promoter	DPN
189	STAG1	Genebody	DPN
48	STAG1	Promoter	DPN
93	p300	Genebody	DPN
33	p300	Promoter	DPN
121	CEBPA	Genebody	E2
47	CEBPA	Promoter	E2
54	CTCF	Genebody	E2
49	CTCF	Promoter	E2
146	FOXa1	Genebody	E2
68	FOXa1	Promoter	E2
166	FOXa2	Genebody	E2
93	FOXa2	Promoter	E2
157	GABPA	Genebody	E2
44	GABPA	Promoter	E2
108	HNF1a	Genebody	E2
43	HNF1a	Promoter	E2
151	HNF4a	Genebody	E2
100	HNF4a	Promoter	E2
139	HNF6	Genebody	E2
60	HNF6	Promoter	E2
144	STAG1	Genebody	E2
41	STAG1	Promoter	E2
81	p300	Genebody	E2
36	p300	Promoter	E2
120	CEBPA	Genebody	PPT
42	CEBPA	Promoter	PPT
58	CTCF	Genebody	PPT
51	CTCF	Promoter	PPT
146	FOXa1	Genebody	PPT
66	FOXa1	Promoter	PPT
167	FOXa2	Genebody	PPT
92	FOXa2	Promoter	PPT
162	GABPA	Genebody	PPT
46	GABPA	Promoter	PPT
108	HNF1a	Genebody	PPT
37	HNF1a	Promoter	PPT
147	HNF4a	Genebody	PPT
88	HNF4a	Promoter	PPT
143	HNF6	Genebody	PPT
62	HNF6	Promoter	PPT
144	STAG1	Genebody	PPT
41	STAG1	Promoter	PPT
83	p300	Genebody	PPT
29	p300	Promoter	PPT
